timestamp,username,status,detail
2026-08-03T20:01:18,ateebsheikh_official,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:20,atek933,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:23,atek_5678,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:26,atek_haji,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:29,atif_ahmed999,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:31,atifansar95,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:34,atifkaku,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:37,atifs_gram,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:40,atiq_ullah_10,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:42,atixaxurrahman,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:45,atoofakhlaque,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:48,attawuddin,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:54,atyabzakagondal,following_not_visible,Could not find a visible Following button.
2026-08-03T20:01:56,aura_by_elanur_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:01:59,avi_the_smarty_usa,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:01,awais.ae_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:03,awais.aslam55,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:06,awais555762,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:09,awais_jutt_1,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:12,awaisghani_56,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:15,awaiskarni_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:18,ay._.ann,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:20,ayaann__khann,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:23,ayana153696,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:29,ayankhan009853,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:02:32,ayat_aftab06,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:34,aycars.ae,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:37,ayesh._.aa,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:39,ayesha.chaudhrii,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:42,ayesha_.saddiqa,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:44,ayeshah_aq04,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:47,ayesharkk,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:50,ayeshayusufk,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:53,ayeshheyy_.20,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:55,ayeshy2.0,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:02:58,ayeza_a56,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:01,ayezahfaizanelahi,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:04,aylazainabkazmi,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:07,aymann_.kamal,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:09,aymii68,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:12,ayna.sulaiman,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:15,aysegul_sunar,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:18,ayshaimrn,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:20,ayushsinghal4895,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:23,ayyeshak_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:29,ayzalnut,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:03:32,ayzazanab,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:34,azan045,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:37,azan_mughal96,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:43,azeemsaeed911,following_not_visible,Could not find a visible Following button.
2026-08-03T20:03:46,azhan_shaikh.x,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:48,azkanoor877,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:51,azkproductionoffical,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:54,azmeer_khan_yusufzai,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:03:57,azzam.kun777,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:00,baa.mry,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:03,babar_junejo786,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:06,badakhshi_hunyar,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:09,baddieeeecore,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:12,baddieworld7_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:14,badersatti.satti.3,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:17,badger.6073498,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:20,bahtti271,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:26,bajwazohaib753,following_not_visible,Could not find a visible Following button.
2026-08-03T20:04:29,bakhtsays__,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:35,balochiblues,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:04:38,banker_on_ride,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:41,bardhanrayaparna,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:43,bareeqahaq,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:48,barkeeeeewho,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:50,basharat_khn,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:53,basil._shahhh,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:56,basill_x,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:04:59,bassskarnainaaa_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:01,batoolfatimablog,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:04,batoolfatimashemsii,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:07,baymissal,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:10,bebablogs,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:13,bebobloggss,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:16,behlulhaznedar_ziyagil1,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:19,beloveddurray,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:21,beltsemarungausko,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:24,berretto19,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:27,berry_thrift_0,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:29,bh_dalwani,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:32,bhambhaniaman,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:35,biaa_blogs10,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:38,biiaa.archives,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:44,bilal.muzaffar,following_not_visible,Could not find a visible Following button.
2026-08-03T20:05:47,bilal_anwar05,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:05:50,bilal_kiing,unfollowed,Unfollow confirmation clicked.
